title,aud_total,holiday,drama,comedy,advanture,criminal.thrill,documentary,horror,family,etc,series,aud_18,director,distributor_value,expect,positive,comp_3,first_day_aud,screen
신의한수,2630879,0,0,0,0,1,0,0,0,0,0,1,1,3,2407,0.949349442,1,456881,1380
캐리비안의해적죽은자는말이없다,2686501,0,0,0,1,0,0,0,0,0,1,0,0,0,12939,0.954436451,2,371226,2666
스타워즈깨어난포스,2708230,0,0,0,1,0,0,0,0,0,1,0,0,0,14170,0.9190625,3,338231,1805
분노의질주더익스트림,2724736,0,0,0,0,1,0,0,0,0,1,0,0,1,9867,0.985627994,1,371370,2533
캡틴아메리카윈터솔져,2738538,0,0,0,1,0,0,0,0,0,1,0,0,0,1969,0.974207582,1,303558,1933
귀향,2744991,0,1,0,0,0,0,0,0,0,0,0,0,0,581,0.985962145,6,303970,1041
엑스맨아포칼립스,2746242,0,0,0,1,0,0,0,0,0,1,0,0,2,14705,0.886326578,1,474561,2398
터미네이터제니시스,2792253,0,0,0,1,0,0,0,0,0,1,0,0,3,28154,0.917061611,1,533984,2177
나우유씨미2,2864992,0,0,0,0,1,0,0,0,0,1,0,0,3,9865,0.947135417,3,657688,1730
데드풀,2893951,0,0,0,0,0,0,0,0,0,0,1,0,2,14601,0.937407486,4,642574,1854
엣지오브투모로우,3192375,0,0,0,0,0,0,0,0,0,0,0,0,2,2528,0.97595253,2,704537,1386
타짜-신의손,3246589,1,1,0,0,0,0,0,0,0,1,1,2,3,7157,0.865686275,6,356260,1557
아가씨,3288831,0,1,0,0,1,0,0,0,0,0,1,2,3,21671,0.834029457,4,560763,2085
조선명탐정사라진놉의딸,3290795,1,0,1,0,0,0,0,0,0,1,0,1,3,7406,0.915329275,6,231929,1506
미이라,3295548,0,0,0,1,0,0,0,0,0,0,0,0,1,6513,0.808122425,2,1088233,2383
역린,3346855,0,0,0,0,0,0,0,0,0,0,0,0,3,6255,0.774853801,2,653407,1942
마션,3348174,0,0,0,1,0,0,0,0,0,0,0,0,2,6812,0.973781148,2,821873,2076
판도라,3381773,0,1,0,0,1,0,0,0,0,0,0,1,2,8338,0.968756509,4,337955,2103
혹성탈출반격의서막,3406705,0,1,0,0,0,0,0,0,0,1,0,0,2,2984,0.952194357,3,460349,1643
엑스맨데이즈오브퓨처패스트,3428735,0,0,0,0,0,0,0,0,0,1,0,0,2,4066,0.968212307,3,583442,1802
연평해전,3516128,0,1,0,0,0,0,0,0,0,0,0,0,2,28626,0.982086614,3,332907,1384
어메이징스파이더맨2,3534336,0,0,0,0,0,0,0,0,0,1,0,0,0,3680,0.898190997,1,372226,2340
신비한동물사전,3571998,0,0,0,1,0,0,0,1,0,0,0,0,2,12840,0.956644051,3,519347,2351
쥬라기월드,3733734,0,0,0,1,0,0,0,0,0,0,0,0,1,15462,0.938834951,1,587590,2126
검은사제들,3877313,0,1,0,0,1,0,0,0,0,0,0,0,3,15918,0.950278611,4,471363,1721
내부자들,4019452,0,1,0,0,1,0,0,0,0,0,1,2,3,12198,0.986439093,4,628251,1861
덕혜옹주,4105686,0,1,0,0,0,0,0,0,0,0,0,1,3,20348,0.971577211,3,536089,1545
닥터스트레인지,4134668,0,0,0,1,0,0,0,0,0,0,0,0,0,17810,0.976658163,2,782065,2993
청년경찰,4140839,0,0,0,0,0,0,0,0,0,0,0,0,3,16419,0.980769231,5,622378,2167
트랜스포머사라진시대,4310112,0,0,0,0,0,0,0,0,0,1,0,0,3,8008,0.774204584,1,786762,3055
더킹,4410130,1,1,0,0,1,0,0,0,0,0,0,3,2,17679,0.938072616,2,541017,2272
히말라야,4592391,0,1,0,0,0,0,0,0,0,0,0,2,3,13693,0.827513673,3,420832,1987
군도민란의시대,4645452,0,0,0,0,0,0,0,0,0,0,0,1,3,14319,0.766165108,2,984932,2523
해적바다로간산적,4673915,0,0,0,1,0,0,0,0,0,0,0,1,3,4941,0.960110642,2,563642,1581
